Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú
BKA,7850103_EM3x,Quản trị kinh doanh,A19,20.1,2020,KTTD
BKA,7850103_EM3y,Quản trị kinh doanh,A00;A01;D01,25.35,2022,
BKA,7850103_EM4,Kế toán,A00;A01;D01,22.6,2019,
BKA,7850103_EM4,Kế toán,A00;A01;D01,25.3,2020,
BKA,7850103_EM4,Kế toán,A00;A01;D01,25.76,2021,
BKA,7850103_EM4,Kế toán,A00;A01;D01,25.52,2023,
BKA,7850103_EM4,Kế toán,A00;A01;D01,25.8,2024,
BKA,7850103_EM4x,Kế toán,A19,19.29,2020,KTTD
BKA,7850103_EM4y,Kế toán,A00;A01;D01,25.2,2022,
BKA,7850103_EM5,Tài chính - Ngân hàng,A00;A01;D01,22.5,2019,
BKA,7850103_EM5,Tài chính - Ngân hàng,A00;A01;D01,24.6,2020,
BKA,7850103_EM5,Tài chính Ngân hàng,A00;A01;D01,25.83,2021,
BKA,7850103_EM5,Tài chính-Ngân hàng,A00;A01;D01,25.75,2023,
BKA,7850103_EM5,Tài chính - Ngân hàng,A00;A01;D01,25.91,2024,
BKA,7850103_EM5x,Tài chính - Ngân hàng,A19,19.0,2020,KTTD
BKA,7850103_EM5y,Tài chính - Ngân hàng,A00;A01;D01,25.2,2022,
BKA,7850103_ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (Chương trình tiên tiến),A00;A01,26.59,2021,
BKA,7850103_ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),A00;A01,25.73,2023,
BKA,7850103_ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),A00;A01,26.61,2024,
BKA,7850103_ET-E16y,"Truyền thông số và Kỹ thuật đa phương tiện
(CT tiên tiến)",A00;A01,24.71,2022,
BKA,7850103_ET-E4,Chương trình tiên tiến Điện tử - Viễn thông,A00;A01,24.6,2019,
BKA,7850103_ET-E4,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),A00;A01,27.15,2020,Toán
BKA,7850103_ET-E4,Kỹ thuật Điện tử Viễn thông (Chương trình tiên tiến),A00;A01,26.59,2021,
BKA,7850103_ET-E4,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),A00;A01,25.99,2023,
BKA,7850103_ET-E4,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),A00;A01,27.03,2024,
BKA,7850103_ET-E4x,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),A19,22.5,2020,KTTD
BKA,7850103_ET-E4y,"Kỹ thuật Điện tử - Viễn thông
(CT tiên tiến)",A00;A01,24.19,2022,
BKA,7850103_ET-E5,Chương trình tiên tiến Kỹ thuật Y sinh,A00;A01,24.1,2019,
BKA,7850103_ET-E5,Kỹ thuật Y sinh (CT tiên tiến),A00;A01,26.5,2020,Toán
BKA,7850103_ET-E5,Kỹ thuật Y sinh (Chương trình tiên tiến),A00;A01,25.88,2021,
BKA,7850103_ET-E5,Kỹ thuật Y sinh (CT tiên tiến),A00;A01,23.7,2023,
BKA,7850103_ET-E5,Kỹ thuật Y sinh (CT tiên tiến),A00;A01,25.08,2024,
